test,date,result,units
Amylase,2007-01-12,387.0,U/L
BUN,2007-01-12,26.0,mg/dL
Basophils (Absolute),2007-01-12,0.0,10^3/uL
Basophils (Absolute),2007-01-12,0.0,10^3/uL
Calcium,2007-01-12,8.5,mg/dL
Calcium,2007-01-12,9.9,mg/dL
Chloride,2007-01-12,117.0,mmol/L
Chloride,2007-01-12,108.0,mmol/L
Cholesterol,2007-01-12,169.0,mg/dL
Cholesterol,2007-01-12,174.0,mg/dL
Creatine Kinase,2007-01-12,110.0,U/L
Creatine Kinase,2007-01-12,304.0,U/L
Creatinine,2007-01-12,0.6,mg/dL
Creatinine,2007-01-12,0.7,mg/dL
Eosinophils (Absolute),2007-01-12,726.0,10^3/uL
Eosinophils (Absolute),2007-01-12,45.0,10^3/uL
Globulin,2007-01-12,2.1,g/dL
Globulin,2007-01-12,2.9,g/dL
Glucose,2007-01-12,113.0,mg/dL
Glucose,2007-01-12,89.0,mg/dL
Hematocrit,2007-01-12,40.6,%
Hematocrit,2007-01-12,40.0,%
Hemoglobin,2007-01-12,12.9,g/dL
Lipase,2007-01-12,29.0,U/L
Lipase,2007-01-12,4.0,U/L
Lymphocytes (Absolute),2007-01-12,3036.0,10^3/uL
Lymphocytes (Absolute),2007-01-12,2835.0,10^3/uL
MCH,2007-01-12,24.0,pg
MCH,2007-01-12,25.2,pg
MCHC,2007-01-12,31.8,g/dL
MCHC,2007-01-12,35.3,g/dL
MCV,2007-01-12,75.0,fL
MCV,2007-01-12,71.0,fL
Magnesium,2007-01-12,1.8,mmol/L
Magnesium,2007-01-12,1.6,mmol/L
Monocytes (Absolute),2007-01-12,198.0,10^3/uL
Monocytes (Absolute),2007-01-12,135.0,10^3/uL
Neutrophils (Absolute),2007-01-12,2640.0,10^3/uL
Neutrophils (Absolute),2007-01-12,1485.0,10^3/uL
Phosphorus,2007-01-12,5.4,mg/dL
Phosphorus,2007-01-12,3.9,mg/dL
Platelets,2007-01-12,0.453,10^3/uL
Platelets,2007-01-12,337.0,10^3/uL
Potassium,2007-01-12,4.0,mmol/L
Potassium,2007-01-12,3.6,mmol/L
RBC,2007-01-12,5.38,10^6/uL
RBC,2007-01-12,5.6,10^6/uL
Sodium,2007-01-12,149.0,mmol/L
Sodium,2007-01-12,142.0,mmol/L
Total Bilirubin,2007-01-12,0.1,mg/dL
Total Bilirubin,2007-01-12,0.1,mg/dL
Total Protein,2007-01-12,5.6,g/dL
Total Protein,2007-01-12,7.3,g/dL
Triglycerides,2007-01-12,119.0,mg/dL
Triglycerides,2007-01-12,101.0,mg/dL
WBC,2007-01-12,0.0066,10^3/uL
WBC,2007-01-12,0.0045,10^3/uL
% Basophils,2008-08-28,1.0,%
% Eosinophils,2008-08-28,7.0,%
% Lymphocytes,2008-08-28,41.0,%
% Monocytes,2008-08-28,3.0,%
% Neutrophils,2008-08-28,48.0,%
ALP,2008-08-28,98.0,U/L
ALT,2008-08-28,27.0,U/L
AST,2008-08-28,25.0,U/L
Albumin,2008-08-28,3.9,g/dL
Amylase,2008-08-28,67.0,U/L
BUN,2008-08-28,27.0,mg/dL
Basophils (Absolute),2008-08-28,59.0,10^3/uL
Calcium,2008-08-28,8.9,mg/dL
Chloride,2008-08-28,116.0,mmol/L
Cholesterol,2008-08-28,173.0,mg/dL
Creatine Kinase,2008-08-28,126.0,U/L
Creatinine,2008-08-28,0.6,mg/dL
Eosinophils (Absolute),2008-08-28,413.0,10^3/uL
Globulin,2008-08-28,2.4,g/dL
Glucose,2008-08-28,124.0,mg/dL
Hematocrit,2008-08-28,41.7,%
Hemoglobin,2008-08-28,13.2,g/dL
Lipase,2008-08-28,23.0,U/L
Lymphocytes (Absolute),2008-08-28,2419.0,10^3/uL
MCH,2008-08-28,25.2,pg
MCHC,2008-08-28,31.7,g/dL
MCV,2008-08-28,80.0,fL
Magnesium,2008-08-28,2.1,mmol/L
Monocytes (Absolute),2008-08-28,177.0,10^3/uL
Neutrophils (Absolute),2008-08-28,2832.0,10^3/uL
Phosphorus,2008-08-28,6.3,mg/dL
Platelets,2008-08-28,0.53,10^3/uL
Potassium,2008-08-28,3.9,mmol/L
RBC,2008-08-28,5.23,10^6/uL
Sodium,2008-08-28,149.0,mmol/L
Total Bilirubin,2008-08-28,0.1,mg/dL
Total Protein,2008-08-28,6.3,g/dL
Triglycerides,2008-08-28,72.0,mg/dL
WBC,2008-08-28,0.0059,10^3/uL
% Lymphocytes,2009-01-22,44.0,%
% Monocytes,2009-01-22,4.0,%
% Neutrophils,2009-01-22,45.0,%
ALP,2009-01-22,116.0,U/L
ALT,2009-01-22,33.0,U/L
AST,2009-01-22,35.0,U/L
Albumin,2009-01-22,3.8,g/dL
Amylase,2009-01-22,64.0,U/L
BUN,2009-01-22,25.0,mg/dL
Calcium,2009-01-22,8.5,mg/dL
Chloride,2009-01-22,119.0,mmol/L
Cholesterol,2009-01-22,180.0,mg/dL
Creatine Kinase,2009-01-22,93.0,U/L
Creatinine,2009-01-22,0.6,mg/dL
Globulin,2009-01-22,2.4,g/dL
Glucose,2009-01-22,147.0,mg/dL
Hematocrit,2009-01-22,43.7,%
Hemoglobin,2009-01-22,13.5,g/dL
Lipase,2009-01-22,18.0,U/L
Lymphocytes (Absolute),2009-01-22,3036.0,10^3/uL
MCH,2009-01-22,24.5,pg
MCHC,2009-01-22,30.9,g/dL
MCV,2009-01-22,79.0,fL
Magnesium,2009-01-22,1.8,mmol/L
Monocytes (Absolute),2009-01-22,276.0,10^3/uL
Neutrophils (Absolute),2009-01-22,3105.0,10^3/uL
Phosphorus,2009-01-22,5.6,mg/dL
Platelets,2009-01-22,0.528,10^3/uL
Potassium,2009-01-22,3.7,mmol/L
RBC,2009-01-22,5.52,10^6/uL
Sodium,2009-01-22,153.0,mmol/L
Total Bilirubin,2009-01-22,0.1,mg/dL
Total Protein,2009-01-22,6.2,g/dL
Triglycerides,2009-01-22,147.0,mg/dL
WBC,2009-01-22,0.0069,10^3/uL
% Basophils,2009-08-20,1.0,%
% Eosinophils,2009-08-20,7.0,%
% Lymphocytes,2009-08-20,39.0,%
% Monocytes,2009-08-20,3.0,%
% Neutrophils,2009-08-20,50.0,%
ALP,2009-08-20,118.0,U/L
ALT,2009-08-20,43.0,U/L
AST,2009-08-20,49.0,U/L
Albumin,2009-08-20,4.3,g/dL
Amylase,2009-08-20,73.0,U/L
BUN,2009-08-20,28.0,mg/dL
Basophils (Absolute),2009-08-20,55.0,10^3/uL
Calcium,2009-08-20,8.9,mg/dL
Chloride,2009-08-20,115.0,mmol/L
Cholesterol,2009-08-20,178.0,mg/dL
Creatine Kinase,2009-08-20,543.0,U/L
Creatinine,2009-08-20,0.6,mg/dL
Eosinophils (Absolute),2009-08-20,385.0,10^3/uL
Globulin,2009-08-20,2.4,g/dL
Glucose,2009-08-20,106.0,mg/dL
Hematocrit,2009-08-20,40.0,%
Hemoglobin,2009-08-20,13.3,g/dL
Lipase,2009-08-20,20.0,U/L
Lymphocytes (Absolute),2009-08-20,2145.0,10^3/uL
MCH,2009-08-20,25.1,pg
MCHC,2009-08-20,33.3,g/dL
MCV,2009-08-20,75.0,fL
Magnesium,2009-08-20,2.2,mmol/L
Monocytes (Absolute),2009-08-20,165.0,10^3/uL
Neutrophils (Absolute),2009-08-20,2750.0,10^3/uL
Phosphorus,2009-08-20,4.7,mg/dL
Platelets,2009-08-20,0.445,10^3/uL
Potassium,2009-08-20,3.8,mmol/L
RBC,2009-08-20,5.3,10^6/uL
Sodium,2009-08-20,147.0,mmol/L
Total Bilirubin,2009-08-20,0.1,mg/dL
Total Protein,2009-08-20,6.7,g/dL
Triglycerides,2009-08-20,144.0,mg/dL
WBC,2009-08-20,0.0055,10^3/uL
% Lymphocytes,2010-12-03,34.0,%
% Neutrophils,2010-12-03,60.0,%
ALP,2010-12-03,135.0,U/L
ALT,2010-12-03,27.0,U/L
AST,2010-12-03,32.0,U/L
Albumin,2010-12-03,4.2,g/dL
Amylase,2010-12-03,80.0,U/L
BUN,2010-12-03,17.0,mg/dL
Calcium,2010-12-03,8.9,mg/dL
Chloride,2010-12-03,114.0,mmol/L
Cholesterol,2010-12-03,178.0,mg/dL
Creatine Kinase,2010-12-03,495.0,U/L
Creatinine,2010-12-03,0.7,mg/dL
Globulin,2010-12-03,2.4,g/dL
Glucose,2010-12-03,101.0,mg/dL
Hematocrit,2010-12-03,43.4,%
Hemoglobin,2010-12-03,14.4,g/dL
Lipase,2010-12-03,36.0,U/L
Lymphocytes (Absolute),2010-12-03,1938.0,10^3/uL
MCH,2010-12-03,23.7,pg
MCHC,2010-12-03,33.2,g/dL
MCV,2010-12-03,71.0,fL
Magnesium,2010-12-03,1.8,mmol/L
Neutrophils (Absolute),2010-12-03,3420.0,10^3/uL
Phosphorus,2010-12-03,3.9,mg/dL
Platelets,2010-12-03,0.512,10^3/uL
Potassium,2010-12-03,3.6,mmol/L
RBC,2010-12-03,6.07,10^6/uL
Sodium,2010-12-03,148.0,mmol/L
Total Bilirubin,2010-12-03,0.1,mg/dL
Total Protein,2010-12-03,6.6,g/dL
Triglycerides,2010-12-03,70.0,mg/dL
WBC,2010-12-03,0.0057,10^3/uL
% Basophils,2012-01-15,0.0,%
% Eosinophils,2012-01-15,8.0,%
% Lymphocytes,2012-01-15,50.0,%
% Monocytes,2012-01-15,2.0,%
% Neutrophils,2012-01-15,40.0,%
ALP,2012-01-15,85.0,U/L
ALT,2012-01-15,27.0,U/L
AST,2012-01-15,27.0,U/L
Albumin,2012-01-15,4.1,g/dL
Amylase,2012-01-15,138.0,U/L
BUN,2012-01-15,17.0,mg/dL
Bands (Absolute),2012-01-15,0.0,10^3/uL
Basophils (Absolute),2012-01-15,0.0,10^3/uL
Calcium,2012-01-15,9.8,mg/dL
Chloride,2012-01-15,114.0,mmol/L
Cholesterol,2012-01-15,170.0,mg/dL
Creatine Kinase,2012-01-15,133.0,U/L
Creatinine,2012-01-15,0.6,mg/dL
Eosinophils (Absolute),2012-01-15,0.488,10^3/uL
Globulin,2012-01-15,2.2,g/dL
Glucose,2012-01-15,64.0,mg/dL
Hematocrit,2012-01-15,41.6,%
Hemoglobin,2012-01-15,13.4,g/dL
Lipase,2012-01-15,23.0,U/L
Lymphocytes (Absolute),2012-01-15,3.0500000000000003,10^3/uL
MCH,2012-01-15,25.2,pg
MCHC,2012-01-15,32.2,g/dL
MCV,2012-01-15,78.0,fL
Magnesium,2012-01-15,1.6,mmol/L
Monocytes (Absolute),2012-01-15,0.122,10^3/uL
Neutrophils (Absolute),2012-01-15,2.44,10^3/uL
Phosphorus,2012-01-15,4.9,mg/dL
Platelets,2012-01-15,0.472,10^3/uL
Potassium,2012-01-15,4.1,mmol/L
RBC,2012-01-15,5.31,10^6/uL
Sodium,2012-01-15,154.0,mmol/L
Total Bilirubin,2012-01-15,0.1,mg/dL
Total Protein,2012-01-15,6.3,g/dL
Triglycerides,2012-01-15,69.0,mg/dL
WBC,2012-01-15,0.0060999999999999,10^3/uL
% Basophils,2013-03-17,1.0,%
% Eosinophils,2013-03-17,5.0,%
% Lymphocytes,2013-03-17,37.0,%
% Monocytes,2013-03-17,3.0,%
% Neutrophils,2013-03-17,54.0,%
ALP,2013-03-17,101.0,U/L
ALT,2013-03-17,45.0,U/L
AST,2013-03-17,34.0,U/L
Albumin,2013-03-17,3.6,g/dL
Amylase,2013-03-17,58.0,U/L
BUN,2013-03-17,17.0,mg/dL
Bands (Absolute),2013-03-17,0.0,10^3/uL
Basophils (Absolute),2013-03-17,0.075,10^3/uL
Calcium,2013-03-17,9.6,mg/dL
Chloride,2013-03-17,124.0,mmol/L
Cholesterol,2013-03-17,167.0,mg/dL
Creatine Kinase,2013-03-17,187.0,U/L
Creatinine,2013-03-17,0.6,mg/dL
Eosinophils (Absolute),2013-03-17,0.375,10^3/uL
Globulin,2013-03-17,2.1,g/dL
Glucose,2013-03-17,63.0,mg/dL
Hematocrit,2013-03-17,39.0,%
Hemoglobin,2013-03-17,12.7,g/dL
Lipase,2013-03-17,17.0,U/L
Lymphocytes (Absolute),2013-03-17,2.775,10^3/uL
MCH,2013-03-17,24.4,pg
MCHC,2013-03-17,32.6,g/dL
MCV,2013-03-17,75.0,fL
Magnesium,2013-03-17,1.8,mmol/L
Monocytes (Absolute),2013-03-17,0.225,10^3/uL
Neutrophils (Absolute),2013-03-17,4.05,10^3/uL
Phosphorus,2013-03-17,6.4,mg/dL
Platelets,2013-03-17,0.45,10^3/uL
Potassium,2013-03-17,3.9,mmol/L
RBC,2013-03-17,5.21,10^6/uL
Sodium,2013-03-17,157.0,mmol/L
Total Bilirubin,2013-03-17,0.1,mg/dL
Total Protein,2013-03-17,5.7,g/dL
Triglycerides,2013-03-17,79.0,mg/dL
WBC,2013-03-17,0.0075,10^3/uL
% Basophils,2016-04-24,0.0,%
% Eosinophils,2016-04-24,2.0,%
% Lymphocytes,2016-04-24,48.0,%
% Monocytes,2016-04-24,4.0,%
% Neutrophils,2016-04-24,46.0,%
ALP,2016-04-24,114.0,U/L
ALT,2016-04-24,33.0,U/L
AST,2016-04-24,24.0,U/L
Albumin,2016-04-24,4.6,g/dL
Amylase,2016-04-24,65.0,U/L
BUN,2016-04-24,16.0,mg/dL
Bands (Absolute),2016-04-24,0.0,10^3/uL
Basophils (Absolute),2016-04-24,0.0,10^3/uL
Calcium,2016-04-24,10.0,mg/dL
Chloride,2016-04-24,115.0,mmol/L
Cholesterol,2016-04-24,196.0,mg/dL
Creatine Kinase,2016-04-24,81.0,U/L
Creatinine,2016-04-24,0.6,mg/dL
Eosinophils (Absolute),2016-04-24,0.114,10^3/uL
Globulin,2016-04-24,2.7,g/dL
Glucose,2016-04-24,73.0,mg/dL
Hematocrit,2016-04-24,44.0,%
Hemoglobin,2016-04-24,13.8,g/dL
Lymphocytes (Absolute),2016-04-24,2.736,10^3/uL
MCH,2016-04-24,24.6,pg
MCHC,2016-04-24,31.4,g/dL
MCV,2016-04-24,79.0,fL
Magnesium,2016-04-24,1.8,mmol/L
Monocytes (Absolute),2016-04-24,0.228,10^3/uL
Neutrophils (Absolute),2016-04-24,2.622,10^3/uL
Phosphorus,2016-04-24,5.7,mg/dL
Platelets,2016-04-24,0.418,10^3/uL
Potassium,2016-04-24,3.6,mmol/L
RBC,2016-04-24,5.6,10^6/uL
Sodium,2016-04-24,153.0,mmol/L
Total Bilirubin,2016-04-24,0.1,mg/dL
Total Protein,2016-04-24,7.3,g/dL
Triglycerides,2016-04-24,72.0,mg/dL
WBC,2016-04-24,0.0057,10^3/uL
% Basophils,2017-08-30,0.0,%
% Eosinophils,2017-08-30,5.0,%
% Lymphocytes,2017-08-30,29.0,%
% Monocytes,2017-08-30,2.0,%
% Neutrophils,2017-08-30,64.0,%
ALP,2017-08-30,118.0,U/L
ALT,2017-08-30,25.0,U/L
AST,2017-08-30,31.0,U/L
Albumin,2017-08-30,3.6,g/dL
Amylase,2017-08-30,85.0,U/L
Anion Gap,2017-08-30,23.0,mmol/L
BUN,2017-08-30,16.0,mg/dL
Basophils (Absolute),2017-08-30,0.0,10^3/uL
Bilirubin (Unconjugated),2017-08-30,0.0,mg/dL
Calcium,2017-08-30,9.0,mg/dL
Chloride,2017-08-30,115.0,mmol/L
Cholesterol,2017-08-30,138.0,mg/dL
Creatine Kinase,2017-08-30,95.0,U/L
Creatinine,2017-08-30,0.5,mg/dL
Eosinophils (Absolute),2017-08-30,0.000315,10^3/uL
GGT,2017-08-30,31.0,U/L
Globulin,2017-08-30,2.2,g/dL
Glucose,2017-08-30,103.0,mg/dL
Hematocrit,2017-08-30,50.2,%
Hemoglobin,2017-08-30,15.0,g/dL
Lipase,2017-08-30,6.0,U/L
Lymphocytes (Absolute),2017-08-30,0.001827,10^3/uL
MCH,2017-08-30,24.3,pg
MCHC,2017-08-30,29.9,g/dL
MCV,2017-08-30,81.0,fL
Monocytes (Absolute),2017-08-30,0.000126,10^3/uL
Neutrophils (Absolute),2017-08-30,0.004032,10^3/uL
Phosphorus,2017-08-30,4.3,mg/dL
Platelets,2017-08-30,0.496,10^3/uL
Potassium,2017-08-30,3.1,mmol/L
RBC,2017-08-30,6.17,10^6/uL
SDMA,2017-08-30,0.007,mg/dL
Sodium,2017-08-30,147.0,mmol/L
TCO2,2017-08-30,12.0,mmol/L
Total Protein,2017-08-30,5.8,g/dL
WBC,2017-08-30,0.0063,10^3/uL
% Basophils,2018-09-19,1.0,%
% Eosinophils,2018-09-19,0.6,%
% Lymphocytes,2018-09-19,33.8,%
% Monocytes,2018-09-19,3.2,%
% Neutrophils,2018-09-19,61.4,%
ALP,2018-09-19,93.0,U/L
ALT,2018-09-19,38.0,U/L
AST,2018-09-19,40.0,U/L
Albumin,2018-09-19,3.9,g/dL
Amylase,2018-09-19,88.0,U/L
Anion Gap,2018-09-19,22.0,mmol/L
BUN,2018-09-19,12.0,mg/dL
Basophils (Absolute),2018-09-19,7.3e-05,10^3/uL
Bilirubin (Unconjugated),2018-09-19,0.0,mg/dL
Calcium,2018-09-19,9.0,mg/dL
Chloride,2018-09-19,114.0,mmol/L
Cholesterol,2018-09-19,168.0,mg/dL
Creatine Kinase,2018-09-19,980.0,U/L
Creatinine,2018-09-19,0.5,mg/dL
Eosinophils (Absolute),2018-09-19,4.4e-05,10^3/uL
GGT,2018-09-19,34.0,U/L
Globulin,2018-09-19,2.6,g/dL
Glucose,2018-09-19,88.0,mg/dL
Hematocrit,2018-09-19,43.7,%
Hemoglobin,2018-09-19,15.0,g/dL
Lipase,2018-09-19,10.0,U/L
Lymphocytes (Absolute),2018-09-19,0.002467,10^3/uL
MCH,2018-09-19,25.4,pg
MCHC,2018-09-19,34.3,g/dL
MCV,2018-09-19,74.0,fL
Monocytes (Absolute),2018-09-19,0.000234,10^3/uL
Neutrophils (Absolute),2018-09-19,0.004482,10^3/uL
Phosphorus,2018-09-19,3.4,mg/dL
Platelets,2018-09-19,0.487,10^3/uL
Potassium,2018-09-19,3.7,mmol/L
RBC,2018-09-19,5.9,10^6/uL
SDMA,2018-09-19,0.006,mg/dL
Sodium,2018-09-19,147.0,mmol/L
TCO2,2018-09-19,15.0,mmol/L
Total Protein,2018-09-19,6.5,g/dL
WBC,2018-09-19,0.0073,10^3/uL
% Basophils,2019-07-11,1.1,%
% Eosinophils,2019-07-11,0.0,%
% Lymphocytes,2019-07-11,43.3,%
% Monocytes,2019-07-11,3.2,%
% Neutrophils,2019-07-11,52.4,%
ALP,2019-07-11,120.0,U/L
ALT,2019-07-11,35.0,U/L
AST,2019-07-11,36.0,U/L
Albumin,2019-07-11,5.1,g/dL
Amylase,2019-07-11,102.0,U/L
Anion Gap,2019-07-11,31.0,mmol/L
BUN,2019-07-11,14.0,mg/dL
Basophils (Absolute),2019-07-11,6.2e-05,10^3/uL
Bilirubin (Conjugated),2019-07-11,0.1,mg/dL
Bilirubin (Unconjugated),2019-07-11,0.0,mg/dL
Calcium,2019-07-11,9.6,mg/dL
Chloride,2019-07-11,110.0,mmol/L
Cholesterol,2019-07-11,170.0,mg/dL
Creatine Kinase,2019-07-11,95.0,U/L
Creatinine,2019-07-11,0.5,mg/dL
Eosinophils (Absolute),2019-07-11,0.0,10^3/uL
GGT,2019-07-11,66.0,U/L
Globulin,2019-07-11,2.9,g/dL
Glucose,2019-07-11,128.0,mg/dL
Hematocrit,2019-07-11,44.1,%
Hemoglobin,2019-07-11,14.8,g/dL
Lipase,2019-07-11,9.0,U/L
Lymphocytes (Absolute),2019-07-11,0.002425,10^3/uL
MCH,2019-07-11,24.8,pg
MCHC,2019-07-11,33.6,g/dL
MCV,2019-07-11,74.0,fL
Monocytes (Absolute),2019-07-11,0.000179,10^3/uL
Neutrophils (Absolute),2019-07-11,0.002934,10^3/uL
Phosphorus,2019-07-11,4.1,mg/dL
Platelets,2019-07-11,0.467,10^3/uL
Potassium,2019-07-11,4.1,mmol/L
RBC,2019-07-11,5.96,10^6/uL
SDMA,2019-07-11,0.004,mg/dL
Sodium,2019-07-11,148.0,mmol/L
TCO2,2019-07-11,11.0,mmol/L
Total Protein,2019-07-11,8.0,g/dL
WBC,2019-07-11,0.0056,10^3/uL
% Basophils,2021-03-04,1.4,%
% Eosinophils,2021-03-04,0.6,%
% Lymphocytes,2021-03-04,34.0,%
% Monocytes,2021-03-04,6.1,%
% Neutrophils,2021-03-04,57.9,%
ALP,2021-03-04,137.0,U/L
ALT,2021-03-04,33.0,U/L
AST,2021-03-04,33.0,U/L
Albumin,2021-03-04,4.1,g/dL
Amylase,2021-03-04,96.0,U/L
Anion Gap,2021-03-04,28.0,mmol/L
BUN,2021-03-04,25.0,mg/dL
Basophils (Absolute),2021-03-04,8.999999999999999e-05,10^3/uL
Bilirubin (Conjugated),2021-03-04,0.1,mg/dL
Bilirubin (Unconjugated),2021-03-04,0.0,mg/dL
Calcium,2021-03-04,9.3,mg/dL
Chloride,2021-03-04,115.0,mmol/L
Cholesterol,2021-03-04,209.0,mg/dL
Creatine Kinase,2021-03-04,180.0,U/L
Creatinine,2021-03-04,0.6,mg/dL
Eosinophils (Absolute),2021-03-04,3.8e-05,10^3/uL
GGT,2021-03-04,49.0,U/L
Globulin,2021-03-04,2.6,g/dL
Glucose,2021-03-04,110.0,mg/dL
Hematocrit,2021-03-04,41.3,%
Hemoglobin,2021-03-04,14.1,g/dL
Lipase,2021-03-04,14.0,U/L
Lymphocytes (Absolute),2021-03-04,0.002176,10^3/uL
MCH,2021-03-04,24.6,pg
MCHC,2021-03-04,34.1,g/dL
MCV,2021-03-04,72.0,fL
Monocytes (Absolute),2021-03-04,0.00039,10^3/uL
Neutrophils (Absolute),2021-03-04,0.003706,10^3/uL
Phosphorus,2021-03-04,3.8,mg/dL
Platelets,2021-03-04,0.515,10^3/uL
Potassium,2021-03-04,4.5,mmol/L
RBC,2021-03-04,5.74,10^6/uL
SDMA,2021-03-04,0.005,mg/dL
Sodium,2021-03-04,153.0,mmol/L
TCO2,2021-03-04,15.0,mmol/L
Total Protein,2021-03-04,6.7,g/dL
WBC,2021-03-04,0.0064,10^3/uL
% Basophils,2022-03-17,5.0,%
% Eosinophils,2022-03-17,9.0,%
% Lymphocytes,2022-03-17,18.0,%
% Monocytes,2022-03-17,5.0,%
% Neutrophils,2022-03-17,57.0,%
ALP,2022-03-17,118.0,U/L
ALT,2022-03-17,36.0,U/L
AST,2022-03-17,33.0,U/L
Albumin,2022-03-17,4.4,g/dL
Amylase,2022-03-17,100.0,U/L
Anion Gap,2022-03-17,22.0,mmol/L
BUN,2022-03-17,30.0,mg/dL
Basophils (Absolute),2022-03-17,0.0003,10^3/uL
Bilirubin (Unconjugated),2022-03-17,0.0,mg/dL
Calcium,2022-03-17,9.5,mg/dL
Chloride,2022-03-17,115.0,mmol/L
Cholesterol,2022-03-17,209.0,mg/dL
Creatine Kinase,2022-03-17,127.0,U/L
Creatinine,2022-03-17,0.5,mg/dL
Eosinophils (Absolute),2022-03-17,0.00054,10^3/uL
GGT,2022-03-17,50.0,U/L
Globulin,2022-03-17,2.1,g/dL
Glucose,2022-03-17,113.0,mg/dL
Hematocrit,2022-03-17,42.4,%
Hemoglobin,2022-03-17,14.3,g/dL
Lipase,2022-03-17,15.0,U/L
Lymphocytes (Absolute),2022-03-17,0.00108,10^3/uL
MCH,2022-03-17,24.7,pg
MCHC,2022-03-17,33.7,g/dL
MCV,2022-03-17,73.0,fL
Monocytes (Absolute),2022-03-17,0.0003,10^3/uL
Neutrophils (Absolute),2022-03-17,0.00342,10^3/uL
Phosphorus,2022-03-17,3.3,mg/dL
Platelets,2022-03-17,0.536,10^3/uL
Potassium,2022-03-17,4.4,mmol/L
RBC,2022-03-17,5.79,10^6/uL
SDMA,2022-03-17,0.005,mg/dL
Sodium,2022-03-17,148.0,mmol/L
TCO2,2022-03-17,15.0,mmol/L
Total Protein,2022-03-17,6.5,g/dL
WBC,2022-03-17,0.006,10^3/uL
% Basophils,2022-04-14,1.2,%
% Eosinophils,2022-04-14,0.2,%
% Lymphocytes,2022-04-14,36.7,%
% Monocytes,2022-04-14,5.1,%
% Neutrophils,2022-04-14,56.8,%
ALP,2022-04-14,116.0,U/L
ALT,2022-04-14,30.0,U/L
AST,2022-04-14,33.0,U/L
Albumin,2022-04-14,4.8,g/dL
Amylase,2022-04-14,87.0,U/L
Anion Gap,2022-04-14,26.0,mmol/L
BUN,2022-04-14,25.0,mg/dL
Basophils (Absolute),2022-04-14,5.9e-05,10^3/uL
Bilirubin (Conjugated),2022-04-14,0.1,mg/dL
Bilirubin (Unconjugated),2022-04-14,0.0,mg/dL
Calcium,2022-04-14,9.4,mg/dL
Chloride,2022-04-14,115.0,mmol/L
Cholesterol,2022-04-14,193.0,mg/dL
Creatine Kinase,2022-04-14,232.0,U/L
Creatinine,2022-04-14,0.5,mg/dL
Eosinophils (Absolute),2022-04-14,1e-05,10^3/uL
GGT,2022-04-14,60.0,U/L
Globulin,2022-04-14,2.8,g/dL
Glucose,2022-04-14,106.0,mg/dL
Hematocrit,2022-04-14,42.7,%
Hemoglobin,2022-04-14,14.2,g/dL
Lipase,2022-04-14,14.0,U/L
Lymphocytes (Absolute),2022-04-14,0.001798,10^3/uL
MCH,2022-04-14,24.1,pg
MCHC,2022-04-14,33.3,g/dL
MCV,2022-04-14,73.0,fL
Monocytes (Absolute),2022-04-14,0.00025,10^3/uL
Neutrophils (Absolute),2022-04-14,0.002783,10^3/uL
Phosphorus,2022-04-14,3.2,mg/dL
Platelets,2022-04-14,0.468,10^3/uL
Potassium,2022-04-14,4.1,mmol/L
RBC,2022-04-14,5.88,10^6/uL
SDMA,2022-04-14,0.007,mg/dL
Sodium,2022-04-14,151.0,mmol/L
