test,date,result,units
Hemoglobin,2008-10-15,15.2,g/dL
Lipase,2008-10-15,6.0,U/L
Lymphocytes (Absolute),2008-10-15,0.682,10^3/uL
MCH,2008-10-15,26.4,pg
MCHC,2008-10-15,31.7,g/dL
MCV,2008-10-15,83.0,fL
Magnesium,2008-10-15,1.9,mmol/L
Monocytes (Absolute),2008-10-15,0.044,10^3/uL
Neutrophils (Absolute),2008-10-15,1.474,10^3/uL
Phosphorus,2008-10-15,4.3,mg/dL
Platelets,2008-10-15,416.0,10^3/uL
Potassium,2008-10-15,3.3,mmol/L
RBC,2008-10-15,5.76,10^6/uL
Sodium,2008-10-15,155.0,mmol/L
Total Bilirubin,2008-10-15,0.2,mg/dL
Total Protein,2008-10-15,8.2,g/dL
Triglycerides,2008-10-15,268.0,mg/dL
WBC,2008-10-15,2.2,10^3/uL
A:G Ratio,2009-06-23,1.3,
ALP,2009-06-23,67.0,U/L
ALT,2009-06-23,39.0,U/L
AST,2009-06-23,19.0,U/L
Albumin,2009-06-23,4.8,g/dL
Amylase,2009-06-23,66.0,U/L
BUN,2009-06-23,14.0,mg/dL
BUN:Creatinine Ratio,2009-06-23,23.0,
Calcium,2009-06-23,10.6,mg/dL
Chloride,2009-06-23,112.0,mmol/L
Cholesterol,2009-06-23,228.0,mg/dL
Creatine Kinase,2009-06-23,140.0,U/L
Creatinine,2009-06-23,0.6,mg/dL
Globulin,2009-06-23,3.7,g/dL
Glucose,2009-06-23,105.0,mg/dL
Lipase,2009-06-23,5.0,U/L
Magnesium,2009-06-23,2.0,mmol/L
Na:K Ratio,2009-06-23,40.0,nan
Phosphorus,2009-06-23,4.8,mg/dL
Potassium,2009-06-23,3.6,mmol/L
Sodium,2009-06-23,145.0,mmol/L
Total Bilirubin,2009-06-23,0.2,mg/dL
Total Protein,2009-06-23,8.5,g/dL
Triglycerides,2009-06-23,140.0,mg/dL
A:G Ratio,2011-03-01,1.4,
ALP,2011-03-01,84.0,U/L
ALT,2011-03-01,63.0,U/L
AST,2011-03-01,23.0,U/L
Albumin,2011-03-01,4.7,g/dL
Amylase,2011-03-01,63.0,U/L
BUN,2011-03-01,12.0,mg/dL
BUN:Creatinine Ratio,2011-03-01,20.0,
Calcium,2011-03-01,9.5,mg/dL
Chloride,2011-03-01,110.0,mmol/L
Cholesterol,2011-03-01,186.0,mg/dL
Creatine Kinase,2011-03-01,163.0,U/L
Creatinine,2011-03-01,0.6,mg/dL
Globulin,2011-03-01,3.3,g/dL
Glucose,2011-03-01,105.0,mg/dL
Hematocrit,2011-03-01,45.9,%
Hemoglobin,2011-03-01,14.0,g/dL
Lipase,2011-03-01,7.0,U/L
MCH,2011-03-01,25.9,pg
MCHC,2011-03-01,30.5,g/dL
MCV,2011-03-01,85.0,fL
Magnesium,2011-03-01,1.8,mmol/L
Na:K Ratio,2011-03-01,38.0,nan
Phosphorus,2011-03-01,4.5,mg/dL
Platelets,2011-03-01,438.0,10^3/uL
Potassium,2011-03-01,3.8,mmol/L
RBC,2011-03-01,5.41,10^6/uL
Sodium,2011-03-01,145.0,mmol/L
Total Bilirubin,2011-03-01,0.1,mg/dL
Total Protein,2011-03-01,8.0,g/dL
Triglycerides,2011-03-01,99.0,mg/dL
WBC,2011-03-01,4.1,10^3/uL
% Basophils,2012-02-05,0.0,%
% Eosinophils,2012-02-05,1.0,%
% Lymphocytes,2012-02-05,45.0,%
% Monocytes,2012-02-05,3.0,%
% Neutrophils,2012-02-05,51.0,%
A:G Ratio,2012-02-05,1.6,
ALP,2012-02-05,94.0,U/L
ALT,2012-02-05,74.0,U/L
AST,2012-02-05,29.0,U/L
Albumin,2012-02-05,4.8,g/dL
Amylase,2012-02-05,69.0,U/L
BUN,2012-02-05,9.0,mg/dL
BUN:Creatinine Ratio,2012-02-05,15.0,
Bands (Absolute),2012-02-05,0.0,10^3/uL
Basophils (Absolute),2012-02-05,0.0,10^3/uL
Calcium,2012-02-05,9.8,mg/dL
Chloride,2012-02-05,112.0,mmol/L
Cholesterol,2012-02-05,183.0,mg/dL
Creatine Kinase,2012-02-05,97.0,U/L
Creatinine,2012-02-05,0.6,mg/dL
Eosinophils (Absolute),2012-02-05,0.062,10^3/uL
Globulin,2012-02-05,3.0,g/dL
Glucose,2012-02-05,97.0,mg/dL
Hematocrit,2012-02-05,46.5,%
Hemoglobin,2012-02-05,14.2,g/dL
Lipase,2012-02-05,7.0,U/L
Lymphocytes (Absolute),2012-02-05,2.79,10^3/uL
MCH,2012-02-05,26.2,pg
MCHC,2012-02-05,30.5,g/dL
MCV,2012-02-05,86.0,fL
Magnesium,2012-02-05,1.7,mmol/L
Monocytes (Absolute),2012-02-05,0.186,10^3/uL
Na:K Ratio,2012-02-05,43.0,nan
Neutrophils (Absolute),2012-02-05,3.162,10^3/uL
Phosphorus,2012-02-05,3.4,mg/dL
Platelets,2012-02-05,488.0,10^3/uL
Potassium,2012-02-05,3.4,mmol/L
RBC,2012-02-05,5.41,10^6/uL
Sodium,2012-02-05,146.0,mmol/L
Total Bilirubin,2012-02-05,0.1,mg/dL
Total Protein,2012-02-05,7.8,g/dL
Triglycerides,2012-02-05,210.0,mg/dL
WBC,2012-02-05,6.2,10^3/uL
% Basophils,2013-03-17,0.0,%
% Eosinophils,2013-03-17,1.0,%
% Lymphocytes,2013-03-17,35.0,%
% Monocytes,2013-03-17,4.0,%
% Neutrophils,2013-03-17,60.0,%
A:G Ratio,2013-03-17,1.5,
ALP,2013-03-17,81.0,U/L
ALT,2013-03-17,45.0,U/L
AST,2013-03-17,23.0,U/L
Albumin,2013-03-17,4.5,g/dL
Amylase,2013-03-17,51.0,U/L
BUN,2013-03-17,13.0,mg/dL
BUN:Creatinine Ratio,2013-03-17,33.0,
Bands (Absolute),2013-03-17,0.0,10^3/uL
Basophils (Absolute),2013-03-17,0.0,10^3/uL
Calcium,2013-03-17,9.6,mg/dL
Chloride,2013-03-17,115.0,mmol/L
Cholesterol,2013-03-17,166.0,mg/dL
Creatine Kinase,2013-03-17,243.0,U/L
Creatinine,2013-03-17,0.4,mg/dL
Eosinophils (Absolute),2013-03-17,0.03,10^3/uL
Globulin,2013-03-17,3.1,g/dL
Glucose,2013-03-17,77.0,mg/dL
Hematocrit,2013-03-17,37.2,%
Hemoglobin,2013-03-17,13.2,g/dL
Lipase,2013-03-17,4.0,U/L
Lymphocytes (Absolute),2013-03-17,1.05,10^3/uL
MCH,2013-03-17,26.6,pg
MCHC,2013-03-17,35.5,g/dL
MCV,2013-03-17,75.0,fL
Magnesium,2013-03-17,1.6,mmol/L
Monocytes (Absolute),2013-03-17,0.12,10^3/uL
Na:K Ratio,2013-03-17,39.0,nan
Neutrophils (Absolute),2013-03-17,1.8,10^3/uL
Phosphorus,2013-03-17,3.5,mg/dL
Platelets,2013-03-17,342.0,10^3/uL
Potassium,2013-03-17,3.7,mmol/L
RBC,2013-03-17,4.97,10^6/uL
Sodium,2013-03-17,146.0,mmol/L
Total Bilirubin,2013-03-17,0.1,mg/dL
Total Protein,2013-03-17,7.6,g/dL
Triglycerides,2013-03-17,60.0,mg/dL
WBC,2013-03-17,3.0,10^3/uL
% Basophils,2014-03-30,0.0,%
% Eosinophils,2014-03-30,2.0,%
% Lymphocytes,2014-03-30,39.0,%
% Monocytes,2014-03-30,3.0,%
% Neutrophils,2014-03-30,56.0,%
A:G Ratio,2014-03-30,1.6,
ALP,2014-03-30,86.0,U/L
ALT,2014-03-30,79.0,U/L
AST,2014-03-30,38.0,U/L
Albumin,2014-03-30,4.7,g/dL
Amylase,2014-03-30,54.0,U/L
BUN,2014-03-30,9.0,mg/dL
BUN:Creatinine Ratio,2014-03-30,18.0,
Bands (Absolute),2014-03-30,0.0,10^3/uL
Basophils (Absolute),2014-03-30,0.0,10^3/uL
Calcium,2014-03-30,9.5,mg/dL
Chloride,2014-03-30,111.0,mmol/L
Cholesterol,2014-03-30,195.0,mg/dL
Creatine Kinase,2014-03-30,91.0,U/L
Creatinine,2014-03-30,0.5,mg/dL
Eosinophils (Absolute),2014-03-30,0.114,10^3/uL
Globulin,2014-03-30,3.0,g/dL
Glucose,2014-03-30,93.0,mg/dL
Hematocrit,2014-03-30,43.0,%
Hemoglobin,2014-03-30,14.2,g/dL
Lipase,2014-03-30,5.0,U/L
Lymphocytes (Absolute),2014-03-30,2.223,10^3/uL
MCH,2014-03-30,26.8,pg
MCHC,2014-03-30,33.0,g/dL
MCV,2014-03-30,81.0,fL
Magnesium,2014-03-30,1.7,mmol/L
Monocytes (Absolute),2014-03-30,0.171,10^3/uL
Na:K Ratio,2014-03-30,46.0,nan
Neutrophils (Absolute),2014-03-30,3.192,10^3/uL
Phosphorus,2014-03-30,3.7,mg/dL
Platelets,2014-03-30,381.0,10^3/uL
Potassium,2014-03-30,3.2,mmol/L
RBC,2014-03-30,5.3,10^6/uL
Sodium,2014-03-30,148.0,mmol/L
Total Bilirubin,2014-03-30,0.1,mg/dL
Total Protein,2014-03-30,7.7,g/dL
Triglycerides,2014-03-30,168.0,mg/dL
WBC,2014-03-30,5.7,10^3/uL
